year,built_up_area
2004,754.3176470588238
2005,754.3176470588238
2006,754.3176470588238
2007,754.3176470588238
2008,754.3176470588238
2009,754.3176470588238
2010,754.3176470588238
2011,754.3176470588238
2012,754.3176470588238
2013,754.3176470588238
2014,754.3176470588238
2015,754.3176470588238
2016,754.3176470588238
2017,754.3176470588238
2018,754.3176470588238
2019,754.3176470588238
2020,754.3176470588238
2021,754.3176470588238
2022,754.3176470588238
2023,754.3176470588238
