rainfall,temperature,population,NO2_density,ndvi,year
0.107334127,0.275796403,1.000000157,0.209253216,0.084018464,2021
0.107334094,0.275798884,1.000000331,0.209347851,0.074695852,2022
0.107334061,0.275801364,1.000000508,0.209441186,0.07175441,2023
0.107334029,0.275803847,1.000000691,0.209533317,0.067674219,2024
0.107333997,0.27580633,1.000000878,0.20962421,0.064846802,2025
0.107333966,0.275808814,1.000001069,0.209713881,0.062308598,2026
0.107333935,0.275811299,1.000001262,0.209802332,0.060266867,2027
0.107333904,0.275813785,1.000001458,0.209889573,0.058549689,2028
0.107333873,0.27581627,1.000001656,0.209975612,0.05713183,2029
0.107333842,0.275818757,1.000001856,0.210060461,0.055952222,2030
0.107333812,0.275821243,1.000002057,0.21014413,0.054973876,2031
0.107333782,0.27582373,1.000002259,0.210226633,0.054161405,2032
0.107333752,0.275826217,1.000002461,0.210307981,0.053487035,2033
0.107333721,0.275828704,1.000002665,0.210388189,0.052927164,2034
0.107333691,0.275831191,1.000002869,0.21046727,0.052462387,2035
0.107333661,0.275833679,1.000003073,0.210545238,0.052076531,2036
0.107333631,0.275836166,1.000003278,0.210622106,0.051756194,2037
0.107333601,0.275838654,1.000003482,0.21069789,0.051490242,2038
0.107333571,0.275841141,1.000003688,0.210772604,0.051269437,2039
0.107333541,0.275843629,1.000003893,0.210846261,0.051086109,2040
