Year,NDVI
2004,0.3647915562855673
2005,0.36496341904055446
2006,0.3559373883876604
2007,0.3657309893462605
2008,0.3423457101095768
2009,0.33797629627125503
2010,0.3593689014960063
2011,0.3563273403497449
2012,0.3655619055796866
2013,0.36359986183943654
2014,0.36629119503814384
2015,0.37548553405040336
2016,0.3613116664443205
2017,0.38166281910674327
2018,0.37069270909579544
2019,0.36452624036966186
2020,0.38200888486067924
2021,0.38609922775076083
2022,0.3983038555865306
2023,0.3952340636075368
2024,0.3925775807425185
