year,NDVI,rainfall,temperature,population,urban_percent,no2_mean,cluster
2000,,,,17000000.0,,,0
2001,,,,17300000.0,,,0
2002,,,,17600000.0,,,0
2003,,,,17900000.0,,,0
2004,0.3647915562855673,954.5874381246692,16.793247487617634,18200000.0,21.97004038653994,,0
2005,0.3649634190405544,956.4222127322809,16.37087919439051,18500000.0,22.45966290490375,,0
2006,0.3559373883876604,1108.3072254360595,17.21991986201664,18800000.0,22.91177429057315,,0
2007,0.3657309893462605,1145.8532852072124,17.48311659854204,19100000.0,23.238889137380884,,0
2008,0.3423457101095768,1195.6811826187486,16.5395654498908,19400000.0,23.826914481128973,,0
2009,0.337976296271255,1336.6009242210102,16.853621818734325,19700000.0,24.436604268808296,,0
2010,0.3593689014960063,1192.8752094728322,16.476246540080012,20000000.0,24.67205295861149,,0
2011,0.3563273403497449,1093.3659083779523,16.35294808201064,20600000.0,24.872236071846853,,0
2012,0.3655619055796866,1231.975331943015,16.24582047907728,21200000.0,25.103704832905382,,0
2013,0.3635998618394365,1038.560271668033,17.000127782298932,21800000.0,25.45343346444583,,0
2014,0.3662911950381438,1328.0929927025022,16.432507730536486,22400000.0,25.87243963242256,,0
2015,0.3754855340504033,1565.226762756562,16.48710822478563,23000000.0,26.133599635599204,,0
2016,0.3613116664443205,1573.5623305598774,17.120863583048333,23360000.0,26.353372031142047,,0
2017,0.3816628191067432,1381.944191830266,17.23285374043502,23720000.0,26.818165636236348,,0
2018,0.3706927090957954,1398.77715441505,17.16018490527813,24080000.0,27.13624348887614,0.0001918314560722,0
2019,0.3645262403696618,1320.733011943899,16.963775133913714,24440000.0,27.49237408530863,0.0001953194947163,0
2020,0.3820088848606792,1441.9487671034988,17.247974295596123,24800000.0,,0.0001725211847858,0
2021,0.3860992277507608,1360.437833146595,17.42070488425321,,,0.0002177372140289,0
2022,0.3983038555865306,954.4274858564888,17.259646281075902,,,0.0001727456604334,0
2023,0.3952340636075368,1209.214333634513,17.18872305470859,,,0.000197941625482,0
2024,0.3925775807425185,1330.817964543358,17.50418636811645,,,0.0001791345462222,0
