year,rainfall
2004,954.5874381246693
2005,956.4222127322809
2006,1108.3072254360595
2007,1145.8532852072124
2008,1195.6811826187486
2009,1336.6009242210102
2010,1192.8752094728322
2011,1093.3659083779523
2012,1231.9753319430147
2013,1038.560271668033
2014,1328.0929927025022
2015,1565.226762756562
2016,1573.5623305598774
2017,1381.944191830266
2018,1398.77715441505
2019,1320.733011943899
2020,1441.9487671034988
2021,1360.437833146595
2022,954.4274858564887
2023,1209.214333634513
2024,1330.817964543358
