year,temperature
2004,16.793247487617634
2005,16.37087919439051
2006,17.21991986201664
2007,17.48311659854204
2008,16.5395654498908
2009,16.853621818734325
2010,16.476246540080012
2011,16.35294808201064
2012,16.24582047907728
2013,17.000127782298932
2014,16.432507730536486
2015,16.48710822478563
2016,17.120863583048333
2017,17.23285374043502
2018,17.16018490527813
2019,16.963775133913714
2020,17.247974295596123
2021,17.42070488425321
2022,17.259646281075902
2023,17.18872305470859
2024,17.50418636811645
